,0
0,2013-08-29
1,2013-11-08
2,2013-11-18
3,2014-01-09
4,2014-03-11
5,2014-08-27
6,2014-11-19
7,2014-12-22
8,2015-02-19
9,2015-03-13
10,2015-05-13
11,2015-06-01
12,2015-10-16
13,2015-11-20
14,2015-12-29
15,2016-01-18
16,2016-03-08
17,2016-05-20
18,2016-06-02
19,2016-09-29
20,2016-10-05
21,2016-10-27
22,2016-11-04
23,2016-12-28
24,2017-01-23
25,2017-04-26
26,2017-05-11
27,2017-05-22
28,2017-05-26
29,2017-07-05
30,2017-07-14
31,2017-11-27
32,2017-12-29
33,2018-02-05
34,2018-04-20
